,Class_ID, Name, Sample_Num, Flag, Gender,race,emotion,age
0,n000001," ""14th_Dalai_Lama""",424,0, m,asian,angry,51.333333333333336
1,n000002," ""A_Fine_Frenzy""",315,1, f,undefined,undefined,undefined
2,n000003," ""A._A._Gill""",205,1, m,undefined,undefined,undefined
3,n000004," ""A._J._Buckley""",387,1, m,undefined,undefined,undefined
4,n000005," ""A._J._Pierzynski""",229,1, m,undefined,undefined,undefined
5,n000006," ""A._R._Rahman""",485,1, m,undefined,undefined,undefined
6,n000007," ""A._Raja""",259,1, m,undefined,undefined,undefined
7,n000008," ""AB_de_Villiers""",273,1, m,undefined,undefined,undefined
8,n000009," ""AYAMI""",136,0, f,asian,happy,27.0
9,n000010," ""Aamani""",156,1, f,undefined,undefined,undefined
10,n000011," ""Aamna_Sharif""",380,1, f,undefined,undefined,undefined
11,n000012," ""Aaron_Ashmore""",382,1, m,undefined,undefined,undefined
12,n000013," ""Aaron_Hernandez""",314,1, m,undefined,undefined,undefined
13,n000014," ""Aaron_Lennon""",288,1, m,undefined,undefined,undefined
14,n000015," ""Aaron_Motsoaledi""",248,1, m,undefined,undefined,undefined
15,n000016," ""Aaron_Ramsey""",449,1, m,undefined,undefined,undefined
16,n000017," ""Aaron_Rodgers""",319,1, m,undefined,undefined,undefined
17,n000018," ""Aaron_Schock""",283,1, m,undefined,undefined,undefined
18,n000019," ""Aaron_Stanford""",374,1, m,undefined,undefined,undefined
19,n000020," ""Aaron_Taylor-Johnson""",450,1, m,undefined,undefined,undefined
20,n000021," ""Aaron_Tippin""",286,1, m,undefined,undefined,undefined
21,n000022," ""Aarti_Chhabria""",396,1, f,undefined,undefined,undefined
22,n000023," ""Aarón_Díaz""",398,1, m,undefined,undefined,undefined
23,n000024," ""Abbey_Clancy""",451,1, f,undefined,undefined,undefined
24,n000025," ""Abby_Elliott""",309,1, f,undefined,undefined,undefined
25,n000026," ""Abdelaziz_Bouteflika""",373,1, m,undefined,undefined,undefined
26,n000027," ""Abdul_Hadi_Awang""",382,1, m,undefined,undefined,undefined
27,n000028," ""Abdul_Qadeer_Khan""",264,1, m,undefined,undefined,undefined
28,n000029," ""Abdullah_II_of_Jordan""",454,0, m,latino hispanic,angry,35.375
29,n000030," ""Abdüllatif_Şener""",268,1, m,undefined,undefined,undefined
30,n000031," ""Abel_Braga""",305,1, m,undefined,undefined,undefined
